author_id,created_at,id,lang,text,date
2004319784343650304,2026-01-15 10:55:52+00:00,2011754201802817941,en,"RT @SFaeze_Alavi: Don't allow the Islamic Republic to silence the voice of the people of Iran:

""Say it:

Javid Shah
Javid Shah
Jaaavid Sha…",2026-01-15
994216452545699840,2026-01-15 10:55:52+00:00,2011754201601462462,en,"RT @NewZealandMFA: New Zealand is appalled by the escalation of violence and repression in Iran. 

We condemn the brutal crackdown being ca…",2026-01-15
1880943379481346048,2026-01-15 10:55:52+00:00,2011754201555353738,en,"Freedom for IRAN
#IranRevoIution2026
#DigitalBlackoutlran
#KingRezaPahlavi
#DownWithIslamicRepublic
#genocideinIran https://t.co/ErVMgqxH5C",2026-01-15
801597760931663872,2026-01-15 10:55:52+00:00,2011754201542771161,en,"RT @visegrad24: Alireza Seidi was buried today. 

He was murdered by Islamic regime forces while protesting for a free Iran on the streets…",2026-01-15
2006497891507179521,2026-01-15 10:55:52+00:00,2011754201542758555,en,RT @drhossamsamy65: ⛔️Not Iran but Germany‼️ https://t.co/baZzRPN89R,2026-01-15
1076668971578023936,2026-01-15 10:55:52+00:00,2011754201328861529,en,"RT @Panizachi: 🆘Iran has entered its sixth day of a total internet blackout.
By silencing communications and cutting off images, the true s…",2026-01-15
848250998204358656,2026-01-15 10:55:52+00:00,2011754201328808001,en,RT @HillelNeuer: Those claiming to oppose foreign intervention in Iran somehow never object to foreign Iraqi and Afghan militia coming in t…,2026-01-15
1814243556430622720,2026-01-15 10:55:52+00:00,2011754201303687452,en,"RT @P31415927: Dear President Trump,

Crown Prince @PahlaviReza is not just a unifying national leader and the leader of the revolution.…",2026-01-15
1294576514307166211,2026-01-15 10:55:52+00:00,2011754201291141244,en,"To be, or not to be, that is the question:
Whether 'tis nobler in the mind to suffer
The slings and arrows of outrageous fortune,
Or to take arms against a sea of troubles
And by opposing end them…

#Iran #IranRevelution2026 https://t.co/pwdM7ug0J1",2026-01-15
2010251584912142339,2026-01-15 10:55:52+00:00,2011754201056252183,en,"@KH_Paque @PahlaviReza @FNFreiheit @fdp @DjirSarai @SabaFarzan The leaders and diplomats of the Islamic Republic regime are liars and criminals. They suppress and kill their own people and are themselves supporters of terrorism.The whole world understands this very well, and they can no longer deceive people around the world with their words",2026-01-15
1474925321178648579,2026-01-15 10:55:52+00:00,2011754200867488208,fa,RT @ManotoNews: دونالد ترامپ، رئیس‌جمهور ایالات متحده، روز چهارشنبه در گفت‌وگویی اختصاصی با رویترز گفت «شاهزاده رضا پهلوی، چهره مخالف جمهور…,2026-01-15
1707356530348072960,2026-01-15 10:55:52+00:00,2011754200825544984,es,"RT @riverafrutos: Guardan silencio con Irán, con Venezuela, con Nicaragua y con Cuba, pero dan clases de moral de TODO.

Zurdos de MIERDA!!",2026-01-15
2785563448,2026-01-15 10:55:52+00:00,2011754200791990579,en,RT @caitoz: Sorry if this is antisemitic but I don’t think the United States should bomb Iran.,2026-01-15
30241312,2026-01-15 10:55:52+00:00,2011754200779354170,en,"RT @EYakoby: Jabar Panahi has been murdered by the Islamic Republic.

He was 16 years old.

Do not stop talking about Iran. https://t.co/7D…",2026-01-15
334715092,2026-01-15 10:55:52+00:00,2011754200691327045,en,"RT @vick55top: Trump does not want a prolonged war with Iran, but if necessary, he is ready to strike quickly and decisively, NBC reports,…",2026-01-15
1824855754358116352,2026-01-15 10:55:52+00:00,2011754200670339416,en,"RT @ggreenwald: Westerners of Iranian descent keep going on TV and threatening to carve up and murder people who disagree with them.

That…",2026-01-15
1411709012958187522,2026-01-15 10:55:52+00:00,2011754200456446255,en,@Jvnior Full of people acting like they are in Iran supporting their Dictator?,2026-01-15
2501440740,2026-01-15 10:55:52+00:00,2011754200276058156,en,"RT @Alighazizade: Donald Trump says the Islamic Republic claims it will no longer kill people.
Instead of accepting this big lie, give the…",2026-01-15
1858681512889028608,2026-01-15 10:55:52+00:00,2011754200112439628,en,"U.S. President Donald Trump said on Wednesday (January 14, 2026) that Iranian Opposition ‍figure Reza Pahlavi “seems very nice” but expressed uncertainty over whether Pahlavi would be able to muster support within Iran to eventually take over. https://t.co/nfaCUl5paK",2026-01-15
2010308070891569152,2026-01-15 10:55:52+00:00,2011754199953129784,en,RT @JakeWSimons: Awful. The regime is even charging large sums for her body to be returned. Evil. Free Iran! https://t.co/EB3TqOVSYI,2026-01-15
2011569244790800384,2026-01-15 10:55:52+00:00,2011754199814664403,en,RT @TrumpBarron_Q: 🚨BREAKING: Trump says the US will take 'very strong action' if Iran starts hanging protesters 🇮🇷 🇺🇸 https://t.co/vGCTDW9…,2026-01-15
1422551132828745729,2026-01-15 10:55:52+00:00,2011754199735025725,en,"@garethicke The regime change has already happened.
https://t.co/bRHELTZAGT",2026-01-15
2010442358261710848,2026-01-15 10:55:52+00:00,2011754199680532676,en,"RT @Savakzadeh: 🔴 NEW FOOTAGE from Mashhad, Iran. 

People have flooded the street, risking their lives shouting “Javid Shah”

The message…",2026-01-15
1728618404351795200,2026-01-15 10:55:52+00:00,2011754199625961811,en,RT @WarMonitor3: Two European officials have said US military intervention in Iran appears likely with one saying it could come as early as…,2026-01-15
2808001942,2026-01-15 10:55:52+00:00,2011754199303033160,it,"Come il Mossad e la CIA hanno sabotato le proteste economiche in Iran per fomentare il caos
Di Yousef Ramazani

https://t.co/HJkemQ43EE https://t.co/4GTBv30hei",2026-01-15
120737430,2026-01-15 10:55:52+00:00,2011754199202349331,en,"RT @AJEnglish: The Pentagon has presented a wide range of options to President Trump for targets in Iran, including Iran’s nuclear programm…",2026-01-15
2001205251148488704,2026-01-15 10:55:52+00:00,2011754199172989162,en,"RT @IRMilitaryMedia: #Iran has been wounded by enemies throughout history, but it has always stood strong.

We will disappoint the enemies…",2026-01-15
1720665183188922368,2026-01-15 10:55:52+00:00,2011754199034327309,fr,"@antizionistttt Oui, des groupes pro-israéliens comme AIPAC ont exercé une pression depuis 2003 pour des sanctions US contre l'Iran (ex: extension de l'Iran Sanctions Act en 2005, qui pénalise les firmes US négociant avec l'Iran) et une posture ferme, y compris sur le nucléaire. Pas de guerre",2026-01-15
1473690333137584137,2026-01-15 10:55:52+00:00,2011754199009411205,en,"RT @HilzFuld: If this was a photo of Gaza, there would not be a single media outlet that didn’t have this on the front page. It’s not Gaza.…",2026-01-15
854333364765163520,2026-01-15 10:55:52+00:00,2011754198984196244,fa,"RT @sattarkhan121: #خبر_فوری 
#اين_آخرين_نبرده_پهلوى_برميگرده 

در این ویدیو به وضوح استفاده از سلاح جنگی (کلاشنیکوف) برای کشتن شهروندان مش…",2026-01-15
1814700209798328320,2026-01-15 10:55:52+00:00,2011754198833181172,en,"@SenateGOP we only see some words and they are not gonna save the lives of innocent people being killed by murderous Islamic Republic. take some serious action. 
#digitalblackoutiran #iranrevolution #iranrevolution2022",2026-01-15
1574725251778363392,2026-01-15 10:55:52+00:00,2011754198728392832,fa,"RT @iranhrs99: ۲۴ دی ۱۴۰۴؛ تصاویر دیگری از مراسم خاکسپاری #علیرضا_صیدی نوجوان ۱۶ ساله با حضور گسترده مردمی و شعارهای؛ 
مرگ بر خامنه‌ای 
مرگ…",2026-01-15
2011609478744195079,2026-01-15 10:55:52+00:00,2011754198648701109,en,"RT @MarioNawfal: 🚨🇮🇷 IRAN REGIME STORMS HOSPITAL AND HUNTS DOWN WOUNDED PROTESTERS

Footage leaked before Iran's internet blackout shows re…",2026-01-15
1341280131550068737,2026-01-15 10:55:52+00:00,2011754198644507107,en,RT @LizaRosen0000: The people of Iran are rising up against the barbaric Islamic regime! Please share if you stand with them! https://t.co/…,2026-01-15
1600154572978266112,2026-01-15 10:55:52+00:00,2011754198564835628,en,RT @jacksonhinklle: Iran is NOT our enemy https://t.co/N3CEVQzPHR,2026-01-15
1663356268260605955,2026-01-15 10:55:52+00:00,2011754198371877152,es,"RT @AlTopeyPunto891: Se reabre el espacio aéreo en Irán, Donald Trump se hecho para atrás, no atacó. https://t.co/ecF5kFn0Es",2026-01-15
24378958,2026-01-15 10:55:52+00:00,2011754198367707598,en,"RT @AfgZoroastrian: Islamic Republic kills Iranians.

World watches and stays quiet.

Cowards. All of you.

🇮🇷💔",2026-01-15
940525419538866176,2026-01-15 10:55:52+00:00,2011754198367682948,es,"RT @RaholaOficial: Javier Bardem encarna como nadie la indecencia de una izquierda caviar que solo alza el puño, con impostada indignación,…",2026-01-15
1652018437370068994,2026-01-15 10:55:52+00:00,2011754198334128146,en,RT @mitchellvii: 🎯 JUST-IN: KHAMENEI READY TO BOLT! - The Iranian tyrant is loading up planes and planning his getaway as defections rip hi…,2026-01-15
1444217411024998408,2026-01-15 10:55:52+00:00,2011754198329934238,qam,@KremlinRussia_E @mfa_russia @MFA_China @narendramodi @PMOIndia @GovernmentRF @trtworld @EastEconomic @TorahJews @yaakov_shapiro @RT_com @RickSanchezTV @chinascio @ForeignChinese @BRICSinfo @remarks @CCTV_Plus @CCTV @khamenei_ir @PressTV @TehranTimes79 @IranIntl_En https://t.co/im0rnLdjIi,2026-01-15
1942639329899339776,2026-01-15 10:55:52+00:00,2011754197935669448,es,"RT @IsraelVive1948: MATANZA EN IRÁN: 12.000 manifestantes habrían sido asesinados por el régimen islámico en Irán.

🇺🇳 REACCIÓN:
Consejo de…",2026-01-15
330033770,2026-01-15 10:55:51+00:00,2011754197801488846,en,RT @cenkuygur: Mark Levin is demanding that Trump attack Iran today. I'm sure it's because he is so concerned about all those Muslims being…,2026-01-15
819370930526978052,2026-01-15 10:55:51+00:00,2011754197704974513,fa,RT @pirouzimm: دونالد ترامپ در مصاحبه با رویترز، شاهزاده رضا پهلوی را فردی «بسیار محترم و دوست‌داشتنی» خواند و تأکید کرد که اگر مردم ایران…,2026-01-15
1776041050307751936,2026-01-15 10:55:51+00:00,2011754197394604163,en,"RT @HenMazzig: A regime does not shut down the internet for days unless it is hiding crimes.

Khamenei’s regime is slaughtering thousands o…",2026-01-15
888327769628831744,2026-01-15 10:55:51+00:00,2011754197289746457,en,"RT @AbhishBanerj: This is Indian liberal journalist Ravish Kumar from 6 months ago

He talks about Israeli propaganda about public uprising…",2026-01-15
